"uuid","age","country","gender","playcount","age_scrobbles","user_type","registered","firstscrobble","lastscrobble"
"4fbd5af1-e03b-4912-ad99-4c18cbe402ba",19,"BR","n",58982,1807,"user",1223087703,1223133350,1379186896
"6187d0aa-4b64-4dc5-be25-cb77fa109d38",26,"US","n",58235,2415,"user",1163224127,1163224957,1371943886
"ccef2dd0-3c98-4583-9a1d-66eea50d6849",24,"UK","n",54592,2250,"user",1183481759,1183484746,1377685193
"92374eca-9935-4316-a493-61bce7ff2671",29,"UA","n",116968,1567,"user",1215347099,1215351908,1354358214
"61d03209-d583-4f35-be77-ad3213984394",27,"US","n",346062,2593,"user",1132259438,1210125954,1354624398
"d334ecb1-04e3-4782-b38b-241cce5941c0",21,"VU","n",33851,1218,"user",1266310369,1371600203,1268348156
"7f88c745-d1de-4d0b-b874-e78dda5669d2",19,"BR","n",15073,771,"user",1313793327,1313796505,1380039677
"9056b840-b242-4b23-b455-37e42649325f",32,"US","n",48252,1951,"user",1211585672,1379719059,1211586599
"a1981685-9bd9-4777-a5b7-48912018c081",19,"BR","n",67928,1205,"user",1251925571,1251925938,1356025088
"e5cfdc07-1bfe-4b04-90bf-dda8ae78817f",19,"RU","n",53796,1576,"user",1235595047,1235595940,1371591282
"13e5107b-62f7-4c9f-8c50-fd6b3b05c112",22,"BR","n",41317,1346,"user",1263355210,1263356929,1379693343
"ef395a01-d335-42c1-b4d4-c5496a703f0e",28,"CZ","n",18742,998,"subscrib",1293600432,1293601858,1379837800
"40f38c03-d6b1-4343-99a4-05406a425f9c",17,"PL","n",31197,1211,"user",1275216014,1275761403,1379845340
"71f532e3-1352-47e3-a4df-07ef6e20ddd9",21,"US","n",11491,933,"user",1284411013,1284411122,1353002123
"f9b9576e-2454-4f4c-92fb-421cd72756e0",21,"KR","n",32205,988,"user",1293954115,1293954152,1379340457
"cf6f7064-ce43-4f0b-9885-c15d557a8974",24,"BG","n",86308,1600,"user",1241221999,1241222158,1379442740
"6d25f729-5171-479e-95d7-3683e3d35685",20,"ES","n",20525,983,"user",1295472180,1302439382,1380238905
"575f05b9-3230-4ff9-8273-27fed23c88c4",20,"DE","n",52951,2402,"user",1167304585,1167316374,1374884026
"516f9d03-c88f-4a99-a9a7-3e354482a5a7",39,"CA","n",144165,2775,"user",1118860526,1118867176,1358526449
"885fcf26-dadb-423a-9698-2d534757873d",32,"BG","n",19809,2034,"user",1199881790,1199914006,1375385634
"3d4608c8-4499-420b-a571-6dab825c7a68",24,"US","n",47641,2243,"user",1178836426,1178833007,1372654879
"c3beb7bf-beba-46cd-913a-676ddb1c13c7",27,"US","n",25814,1319,"user",1261029323,1261029746,1374889708
"4a93a73a-0f71-430b-b31e-3fdf4a0dc37c",21,"MX","n",67343,1608,"user",1240116884,1240134521,1378661101
"fc517b03-084f-40ea-9e74-b5e854adcc1c",25,"FI","n",62499,3020,"user",1117746853,1117747077,1378626906
"5a1c6674-f418-4398-aa25-b4a20337c8bc",31,"ES","n",31388,1052,"user",1278427712,1369383109,1278428250
"44ae0e28-db08-4094-b3fb-b6163b615356",29,"FI","n",30632,2066,"user",1176660920,1352845062,1176719785
"cee287ae-cf24-4432-8983-8e5b14c33dee",23,"DE","n",56523,2025,"user",1200343051,1200343659,1375287874
"92a698cb-6a8c-4a6f-aa7a-f7dd4e0bed9e",23,"US","n",37051,2858,"user",1130733907,1130735017,1375489871
"e8cd2e79-49fc-459e-97ea-ca4a209c682b",25,"UK","n",63349,1887,"user",1203161648,1203161796,1362059106
"13f73d0b-f7de-4eeb-858e-ea35df1b9b2a",18,"BR","n",202454,1088,"user",1267237931,1267247379,1361258499
"8a1a4352-8f3d-4232-802b-6d8a2df73198",4,"WF","n",41869,1703,"user",1218505516,1218528075,1359378916
"c56df3d2-e19b-4651-b85f-7ad07f5c3a23",29,"US","n",33900,1180,"user",1255743284,1255761854,1357688232
"4282174d-527a-4d5a-8286-6417e2cfff22",25,"DE","n",53288,952,"user",1272630615,1272640171,1354887361
"90f1eb3c-a0d0-45b8-bbba-21ce14dfb8d6",27,"SE","n",14812,1067,"user",1277891619,1277892281,1367949950
"0e27b1be-21b8-41ad-9eba-d9b46b35cd2f",18,"CL","n",18146,1431,"user",1235601217,1262044548,1359181172
"d833a8f2-a25a-4d76-9277-8047b6e974f0",27,"SE","n",80857,2402,"user",1150886681,1358455502,1188422745
"f8f4df45-2c6c-4922-b95d-02f6523df913",23,"SE","n",31454,2387,"user",1173643627,1186171012,1379940617
"68d7cfd0-e4e8-4a27-8e67-ee3e3bbc3fd1",22,"IT","n",21441,2044,"user",1196614562,1196810182,1373053501
"b4a56a38-ec10-48fe-94e5-ae0d64283e65",0,"CN","n",39439,1288,"user",1259052461,1259053015,1370363990
"c1608110-4028-43ef-b1ab-7fc56715c161",24,"US","n",58998,2721,"user",1124063307,1154024779,1359147766
"c7b1aec9-d66d-4249-a6ec-430db0f33bf3",20,"TR","n",11731,798,"user",1310372421,1310372834,1368970753
"96ca1568-1402-4f59-a073-1e6f568b583a",30,"AR","n",45695,1640,"user",1216437427,1217358913,1358181337
