"uuid","age","country","gender","playcount","age_scrobbles","user_type","registered","firstscrobble","lastscrobble"
"53e6a9ee-e8a2-4b83-b09f-0fe84d4bfb40",31,"ES","f",18079,1431,"user",1232298209,1232302920,1347248201
"27f3bbea-f8c4-4785-8703-4a9e37c4fa28",22,"RU","f",35318,1815,"user",1213717144,1213719613,1351338165
"be7dda69-1eba-4061-ae5f-96276cc94fad",17,"UK","f",13109,1649,"user",1231705244,1283089614,1373473344
"79bf706c-e734-4123-89da-2b2d8920c321",21,"UK","m",137847,2694,"user",1139084678,1139085370,1371921509
"152603c2-ceb8-4842-b6d4-8c06d7edb471",24,"UK","m",54801,1421,"user",1241909481,1243459491,1364416297
"a71a6370-186b-4e58-ad52-a31f81ad260d",29,"DE","m",63654,2753,"user",1138190322,1375911956,1138194858
"bfe990f5-1157-492b-b447-f0f512e343e7",23,"FR","f",22753,894,"user",1285794218,1285875298,1362418142
"c8d9b2a9-37d9-4123-b2f3-6c312a8ee555",30,"RU","m",70542,2094,"subscrib",1191277320,1191277498,1372204646
"9e324ab8-dd13-4a55-ae08-1bf4c01756d7",18,"PL","f",22195,1397,"user",1252416121,1256415859,1372711707
"641618bd-091c-4170-8ecd-1ba2e3d6b872",24,"AE","m",8368,1541,"user",1224346047,1224369785,1357068773
"70caa8fe-e6ef-460d-be13-9c6a0e51673a",17,"BR","f",11883,1558,"user",1238019833,1249061071,1371509172
"bc8788a3-8d50-4457-9ec3-f8ce6fe1bfd3",20,"NL","f",51146,1668,"user",1228302068,1228323400,1372419039
"0f554a06-14d8-4009-b3c0-007807cce1a5",29,"BE","m",37885,2120,"user",1175210203,1180903637,1358439699
"d1f7992c-01db-43ce-b9ac-e79f0916979c",21,"FI","f",11467,748,"user",1314190135,1314191066,1378837070
"17c7d6a8-e82b-4335-baa0-d0c7931b2dfa",19,"CZ","m",26535,1469,"user",1223841450,1354402814,1223923468
"2bf90d2b-c80d-46cd-be50-af5d0ca10de1",22,"FR","f",20854,1416,"user",1240657400,1240657599,1362956584
"ec593563-0c67-433b-83bb-986dd9a34dad",39,"IT","m",98040,2385,"user",1169447491,1375522877,1169479165
"7f9c44b5-6b3c-4689-adf8-72ad2aeb16b4",26,"PT","f",46827,1988,"user",1195042667,1195043083,1351947027
"054a6b63-d52a-42f5-bca2-fed2f5b60b10",34,"DE","m",71092,2764,"user",1136456964,1375279020,1136461187
"b024c1d0-efb1-40ff-840b-f1f82cf370d8",20,"UK","f",68352,1611,"user",1227444841,1227638845,1358387573
"8cf042ed-0734-4656-a962-6ece0209e9e8",29,"BR","m",45461,2283,"user",1183076952,1183076782,1379950761
"359c1716-e0b8-4ab3-b9cc-185bacafdecc",24,"KR","m",39997,2629,"user",1149250284,1149251163,1376302735
"98236ee8-d50a-4b45-a6f1-8747a43b005e",14,"BR","f",47271,965,"user",1295896396,1297032107,1379230000
"ec8cd3e5-5556-43ab-910d-2f02f1581564",18,"BR","f",20459,2001,"user",1184450183,1326384242,1357393706
"36c9c9b0-b686-4f2c-8440-328d7630987f",26,"DE","n",50926,1850,"user",1190897690,1190901838,1354382556
"ff9af41e-a249-4e66-9793-663932685d32",28,"RU","m",15031,1297,"user",1257001364,1257003726,1369089752
"e0170bf8-1582-4294-8060-613d2500d7ea",41,"PL","m",45822,1515,"user",1227954570,1227947521,1358924049
"0e7ba41e-2783-4557-b761-349b4b278d82",113,"FR","m",59730,1161,"user",1271801048,1271798223,1372169309
"f743aa35-e965-4c4d-967c-6ca01ace1fcf",34,"NL","m",47539,3004,"subscrib",1091169841,1121703217,1354128116
"6e5fc437-41f5-40f1-a65f-abfa73354ff5",23,"CL","f",71378,2204,"user",1175805282,1175803819,1366228909
